Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
iEF_EE4_rep1	56.651315206801875	12793	83.48	16683.0						
iEF_EE4_rep1_r1_fastq					0.4683007108411614					
iEF_EE4_rep1_r2_fastq					0.33466986366797724					
iEF_EE4_rep1_val_1						7.730798098573928	52.0	141.78098573930447	27.27272727272727	19985.0
iEF_EE4_rep1_val_2						8.38128596447335	52.0	134.4759569677258	18.181818181818183	19985.0
iEF_EE4_rep2	60.75259285524333	13707	83.08	16595.0						
iEF_EE4_rep2_r1_fastq					0.5554527397202217					
iEF_EE4_rep2_r2_fastq					0.33726699745205846					
iEF_EE4_rep2_val_1						9.201962551316711	53.0	140.87308501051368	27.27272727272727	19974.0
iEF_EE4_rep2_val_2						9.632522278962654	52.0	133.81651146490438	18.181818181818183	19974.0
iEF_EF_rep1	57.52111689789488	13143	81.78	16334.0						
iEF_EF_rep1_r1_fastq					0.48945538455965887					
iEF_EF_rep1_r2_fastq					0.3379040669702516					
iEF_EF_rep1_val_1						8.777288203484872	53.0	140.1929701582215	27.27272727272727	19972.0
iEF_EF_rep1_val_2						9.383136390947328	52.0	133.20734027638693	27.27272727272727	19972.0
iEF_EF_rep2	63.35983562622833	14185	83.69	16716.0						
iEF_EF_rep2_r1_fastq					0.5160179250544393					
iEF_EF_rep2_r2_fastq					0.32565635483220373					
iEF_EF_rep2_val_1						9.427727432033237	53.0	142.08171030891702	27.27272727272727	19973.0
iEF_EF_rep2_val_2						9.868322235017274	52.0	134.71626696039652	18.181818181818183	19973.0
iEF_empty_rep1	57.96669825368891	12846	84.38	16853.0						
iEF_empty_rep1_r1_fastq					0.5611290657252574					
iEF_empty_rep1_r2_fastq					0.31262404973223984					
iEF_empty_rep1_val_1						7.5351724828518485	52.0	140.0697441546087	18.181818181818183	19973.0
iEF_empty_rep1_val_2						7.885645621589148	51.0	133.13403094177139	27.27272727272727	19973.0
iEF_empty_rep2	61.71293776084196	13604	84.61	16895.0						
iEF_empty_rep2_r1_fastq					0.47716538539576614					
iEF_empty_rep2_r2_fastq					0.360706784595423					
iEF_empty_rep2_val_1						8.223568888666293	52.0	141.39780638052787	27.27272727272727	19967.0
iEF_empty_rep2_val_2						8.544097761306162	52.0	134.05719437071167	18.181818181818183	19967.0
